Country Name,Latitude (generated),Longitude (generated),CO2 (kt)
Equatorial Guinea,1.6342,10.4695,58055.944
El Salvador,13.848,-89.229,172807.375
"Egypt, Arab Rep.",26.16,28.742,4175213.197
Ecuador,-1.151,-78.308,821198.981
Dominican Republic,19.01,-70.1685,538337.602
Dominica,15.4238,-61.3411,3017.941
Djibouti,11.41,42.165,15573.749
Denmark,56.113,9.096,2763894.907
Czech Republic,49.848,15.2812,2424242.699
Cyprus,34.894,32.928,216954.388
Curacao,12.2129,-69.0407,
Cuba,20.571,-76.456,1356628.652
Croatia,45.754,16.385,412284.477
Cote d'Ivoire,7.497,-5.336,259440.25
Costa Rica,10.126,-84.075,182418.582
"Congo, Rep.",0.509,16.08,52463.769
"Congo, Dem. Rep.",-1.418,23.607,156529.562
Comoros,-11.6527,43.3307,3080.28
Colombia,3.794,-73.606,2437352.224
China,35.1753,99.3877,137248864.702
Chile,-23.176,-69.201,1877570.006
Channel Islands,49.4632,-2.5827,
Chad,15.981,18.781,10087.917
Central African Republic,7.043,21.424,9427.857
Cayman Islands,19.3299,-81.1715,12478.801
Canada,59.2067,-111.1937,21720213.052
Cameroon,4.4,12.131,152770.887
Cambodia,12.69,104.444,58892.02
Cabo Verde,15.416,-23.36,6527.26
Burundi,-3.333,29.749,8940.146
Burkina Faso,12.673,-1.226,32075.249
Bulgaria,42.625,24.521,3154023.37
Brunei Darussalam,4.452,114.557,253378.699
Brazil,-11.694,-48.978,10836832.077
Botswana,-22.126,23.662,103097.705
Bosnia and Herzegovina,44.342,17.804,255875.926
Bolivia,-16.71,-65.183,341562.715
Bhutan,27.5342,90.3002,8203.079
Bermuda,32.3019,-64.7737,21455.617
Benin,10.478,2.274,62471.012
Belize,17.108,-88.744,14286.632
Belgium,50.6745,4.4588,5883690.499
Belarus,53.3292,27.9492,1223087.513
Barbados,13.1898,-59.559,42867.23
Bangladesh,24.598,90.1963,866361.753
Bahrain,26.025,50.5534,556379.242
"Bahamas, The",24.7032,-78.0455,141531.532
Azerbaijan,40.46,47.883,690925.139
Austria,47.65,14.705,2907190.266
Australia,-24.578,133.582,12424734.752
Aruba,12.5176,-69.9818,49200.139
Armenia,40.56,44.449,75778.555
Argentina,-33.166,-64.31,5843151.814
Antigua and Barbuda,17.625,-61.786,18632.027
Angola,-12.836,17.808,417498.951
Andorra,42.5425,1.5893,8694.457
American Samoa,-14.3018,-170.7511,
Algeria,28.6045,2.64,3226648.305
Albania,40.654,20.076,230071.247
Afghanistan,34.023,65.5267,110948.752
